company,role,category,location,country,graduation,start_date,degree,sponsorship,visa_evidence,citizenship_required,salary,salary_min_annual,salary_max_annual,phd_required,personalized_score,priority,personalized_reason,skills,url,source,ng_confidence,ng_evidence,experience_requirement,posted_date,date_added,last_verified,status,match
IMC Trading,Graduate Machine Learning Researcher - Chicago,Quantitative Finance,"Chicago, United States",Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Not listed,,,No,69,Consider,"Quantitative Finance; fit: pytorch, jax, quantitative, quant; sponsorship unknown; salary unknown","Python, PyTorch, TensorFlow, JAX, Machine Learning, Deep Learning",https://job-boards.eu.greenhouse.io/imc/jobs/4907416101,Greenhouse:imc,Confirmed,title says Graduate Machine Learning,,2026-07-21,2026-07-21,2026-07-21,Open,Explicit 2027
IMC Trading,Graduate Quantitative Researcher (BS/MS),Quantitative Finance,"Chicago, United States",Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Not listed,,,No,59,Consider,"Quantitative Finance; fit: quantitative, quant; sponsorship unknown; salary unknown","Python, C++",https://job-boards.eu.greenhouse.io/imc/jobs/4907368101,Greenhouse:imc,Confirmed,title says Graduate Quantitative,,2026-07-21,2026-07-21,2026-07-21,Open,Explicit 2027
IMC Trading,Graduate Quantitative Trader,Quantitative Finance,"Chicago, United States",Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Not listed,,,No,59,Consider,"Quantitative Finance; fit: quantitative, quant; sponsorship unknown; salary unknown","Python, Algorithms",https://job-boards.eu.greenhouse.io/imc/jobs/4751729101,Greenhouse:imc,Confirmed,title says Graduate Quantitative,,2026-07-21,2026-07-21,2026-07-21,Open,Explicit 2027
IMC Trading,Graduate Software Engineer,Quantitative Finance,"Chicago, United States",Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Not listed,,,No,59,Consider,"Quantitative Finance; fit: quantitative, quant; sponsorship unknown; salary unknown","Python, C++, Java, Data Structures, Algorithms",https://job-boards.eu.greenhouse.io/imc/jobs/4818790101,Greenhouse:imc,Confirmed,title says Graduate Software,,2026-07-21,2026-07-21,2026-07-21,Open,Explicit 2027
Nuro,"Software Engineer, AI Platform - New Grad",AI / Machine Learning,"Mountain View, California (HQ)",Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Not listed,,,No,52,Consider,AI / Machine Learning; sponsorship unknown; salary unknown,,https://nuro.ai/careersitem?gh_jid=7351066,Greenhouse:nuro,Confirmed,title says New Grad,,2026-07-21,2026-07-21,2026-07-21,Open,Explicit 2027
Wesco,2027 Information Technology Development Program (Starts June 2027),Other,"Pittsburgh, PA, United States",Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Not listed,,,No,32,Stretch,sponsorship unknown; salary unknown,,https://jobright.ai/jobs/info/6a5e5262050c423c792ee7f9,GitHub:jobright-ai/2026-Software-Engineer-New-Grad:README.md,Confirmed,posting says New Grad,,2026-07-21,2026-07-21,2026-07-21,Open,Explicit 2027
IMC Trading,Graduate Quantitative Researcher (PhD),Quantitative Finance,"Chicago, United States",Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Not listed,,,Yes,17,Stretch,"Quantitative Finance; fit: quantitative, quant; sponsorship unknown; salary unknown; PhD required","Python, C++",https://job-boards.eu.greenhouse.io/imc/jobs/4912325101,Greenhouse:imc,Confirmed,title says Graduate Quantitative,,2026-07-21,2026-07-21,2026-07-21,Open,Explicit 2027
Jane Street,Machine Learning Researcher Full-Time: New Grad,AI / Machine Learning,"New York City, NY",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,$398k/yr,398000,398000,No,100,Top,"AI / Machine Learning; fit: distributed training, gpu, performance; sponsorship unknown; $200k+ range","Python, Machine Learning, Deep Learning",https://www.janestreet.com/join-jane-street/position/8576928002,GitHub:speedyapply/2027-AI-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says New Grad,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Jane Street,Quantitative Researcher Full-Time: New Grad,Quantitative Finance,"New York City, NY",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,$398k/yr,398000,398000,No,100,Top,"Quantitative Finance; fit: distributed training, gpu, performance, quantitative; sponsorship unknown; $200k+ range","Python, Machine Learning, Deep Learning",https://www.janestreet.com/join-jane-street/position/8573726002,GitHub:speedyapply/2027-AI-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says New Grad,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Jane Street,Quantitative Trader Full-Time: New Grad,Quantitative Finance,"New York City, NY",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,$398k/yr,398000,398000,No,100,Top,"Quantitative Finance; fit: gpu, quantitative, quant; sponsorship unknown; $200k+ range","Machine Learning, Deep Learning",https://www.janestreet.com/join-jane-street/position/8573523002,GitHub:speedyapply/2027-AI-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says New Grad,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Citadel,Quantitative Trader: Equity Quantitative Research - University Graduate - US,Quantitative Finance,"New York City, NY",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,$338k/yr,338000,338000,No,99,Top,"Quantitative Finance; fit: quantitative, quant; sponsorship unknown; $200k+ range",,https://www.citadel.com/careers/details/quantitative-trader-equity-quantitative-research-university-graduate-us,GitHub:speedyapply/2027-AI-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says University Graduate,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Citadel Securities,Quantitative Trader - University Graduate - US - Miami,Quantitative Finance,"Miami, FL",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,$338k/yr,338000,338000,No,99,Top,"Quantitative Finance; fit: quantitative, quant; sponsorship unknown; $200k+ range",,https://www.citadelsecurities.com/careers/details/quantitative-trader-university-graduate-us-miami,GitHub:speedyapply/2027-AI-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says University Graduate,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Citadel Securities,Quantitative Trader - University Graduate - US - New York,Quantitative Finance,"New York City, NY",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,$338k/yr,338000,338000,No,99,Top,"Quantitative Finance; fit: quantitative, quant; sponsorship unknown; $200k+ range",,https://www.citadelsecurities.com/careers/details/quantitative-trader-university-graduate-us-new-york,GitHub:speedyapply/2027-AI-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says University Graduate,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Jane Street,Software Engineer Full-Time: New Grad,Software Engineering,"New York City, NY",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,$398k/yr,398000,398000,No,93,Top,Software Engineering; fit: compiler; sponsorship unknown; $200k+ range,"Python, Linux, Machine Learning, Compilers",https://www.janestreet.com/join-jane-street/position/8594541002,GitHub:speedyapply/2027-SWE-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says New Grad,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Twitch,Software Engineer I - Discovery,Software Engineering,"San Francisco, CA",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,"$193,300–$261,500",193300,261500,No,90,Top,Software Engineering; fit: performance; sponsorship unknown; $200k+ range,"Go, TypeScript, React, AWS",https://job-boards.greenhouse.io/twitch/jobs/8623578002,GitHub:speedyapply/2027-SWE-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says Software Engineer I,1+ Years experience,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Optiver,Graduate Software Engineer - 2027 Start,Software Engineering,"Chicago, IL",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,"$200,000–$200,000",200000,200000,No,90,Top,Software Engineering; fit: performance; sponsorship unknown; $200k+ range,"Python, C++, Java, React",https://www.optiver.com/join-us/jobs/8401042002?gh_jid=8401042002,GitHub:speedyapply/2027-SWE-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says Graduate Software,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Optiver,Graduate Software Engineer - 2027 Start,Software Engineering,"Chicago, IL +1",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,"$200,000–$200,000",200000,200000,No,90,Top,Software Engineering; fit: performance; sponsorship unknown; $200k+ range,"Python, C++, Java, React",https://www.optiver.com/join-us/jobs/8604899002?gh_jid=8604899002,GitHub:speedyapply/2027-SWE-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says Graduate Software,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Citadel,Software Engineer - University Graduate - US,Software Engineering,"Houston, TX +2",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,$338k/yr,338000,338000,No,85,Top,Software Engineering; sponsorship unknown; $200k+ range,,https://www.citadel.com/careers/details/software-engineer-university-graduate-us,GitHub:speedyapply/2027-SWE-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says University Graduate,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Citadel Securities,Software Engineer - University Graduate - US,Software Engineering,"Miami, FL +1",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,$338k/yr,338000,338000,No,85,Top,Software Engineering; sponsorship unknown; $200k+ range,,https://www.citadelsecurities.com/careers/details/software-engineer-university-graduate-us,GitHub:speedyapply/2027-SWE-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says University Graduate,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Susquehanna International Group,Quantitative Researcher – Master's: 2027,Quantitative Finance,"New York, NY, United States",Unknown,Unknown,Unknown,Unknown,Yes,Visa sponsorship is available,Unknown,Not listed,,,No,85,Top,"Quantitative Finance; fit: quantitative, quant; sponsorship stated; salary unknown","Python, C++, Machine Learning",https://jobright.ai/jobs/info/6a42c12aa5e15b106837a129,GitHub:jobright-ai/2026-Data-Analysis-New-Grad:README.md,Confirmed,posting says New Grad,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Susquehanna International Group,Quantitative Systematic Trader – Master's: 2027,Quantitative Finance,"New York, NY, United States",Unknown,Unknown,Unknown,Unknown,Yes,Visa sponsorship is available,Unknown,Not listed,,,No,85,Top,"Quantitative Finance; fit: quantitative, quant; sponsorship stated; salary unknown","Python, C++, Machine Learning",https://jobright.ai/jobs/info/6a42c1296c326942b4e8409f,GitHub:jobright-ai/2026-Data-Analysis-New-Grad:README.md,Confirmed,posting says New Grad,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Citadel,Quantitative Research Analyst - University Graduate - US,Other,"Miami, FL +1",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,$338k/yr,338000,338000,No,81,Strong,"fit: quantitative, quant; sponsorship unknown; $200k+ range",,https://www.citadel.com/careers/details/quantitative-research-analyst-university-graduate-us,GitHub:speedyapply/2027-AI-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says University Graduate,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Citadel Securities,Quantitative Research Analyst - University Graduate - US,Other,"Miami, FL +1",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,$338k/yr,338000,338000,No,81,Strong,"fit: quantitative, quant; sponsorship unknown; $200k+ range",,https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-university-graduate-us,GitHub:speedyapply/2027-AI-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says University Graduate,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
Astreya,AI Infrastructure DC Design Engineer I,Infrastructure / Systems,Remote,Unknown,2027,Unknown,Unknown,Unknown,,Unknown,Not listed,,,No,68,Consider,Infrastructure / Systems; fit: ai infrastructure; sponsorship unknown; salary unknown,,https://astreya.wd5.myworkdayjobs.com/en-US/life-at-astreya-opportunities/job/Remote-CA/AI-Infrastructure-DC-Design-Engineer-I_R0015767,GitHub:speedyapply/2027-AI-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says Engineer I,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
SimpliSafe,Software Engineer I - Video Platform,Infrastructure / Systems,"Boston, MA",Unknown,2027,Unknown,Unknown,Unknown,,Unknown,Not listed,,,No,68,Consider,Infrastructure / Systems; fit: ml infrastructure; sponsorship unknown; salary unknown,Machine Learning,https://job-boards.greenhouse.io/simplisafe/jobs/8049510,GitHub:speedyapply/2027-SWE-College-Jobs:NEW_GRAD_USA.md,Confirmed,title says Software Engineer I,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
BlackRock,2027 Full-Time Analyst Program - AMRS,Quantitative Finance,"Ottawa, ON, Canada",Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Not listed,,,No,59,Consider,"Quantitative Finance; fit: quantitative, quant; sponsorship unknown; salary unknown",,https://jobright.ai/jobs/info/6a580c9b3330ca6f993c2ffb,GitHub:jobright-ai/2026-Data-Analysis-New-Grad:README.md,Confirmed,posting says New Grad,,2026-07-20,2026-07-20,2026-07-21,Open,Explicit 2027
